                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.40431,                0.20808,                0.78033,                0.98723,                0.98487,                0.99371,                0.80017,                0.76718,                0.30797,                0.81196,              0.0002773,              0.0002773,              0.0002773
                     75,                0.40402,                0.20765,                0.78054,                0.98803,                0.98443,                0.99373,                0.80066,                0.76586,                0.30737,                0.81173,              0.0002674,              0.0002674,              0.0002674
                     76,                0.40608,                0.20878,                0.77903,                 0.9878,                0.98434,                0.99373,                0.80028,                0.76682,                0.30767,                0.81182,              0.0002575,              0.0002575,              0.0002575
                     77,                0.40531,                0.20759,                0.78124,                0.98704,                0.98514,                0.99379,                 0.8005,                0.76564,                0.30721,                0.81174,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.4084,                0.20785,                0.78045,                0.98679,                0.98528,                0.99372,                0.80037,                0.76688,                0.30786,                0.81199,              0.0002377,              0.0002377,              0.0002377
                     79,                0.40397,                 0.2085,                0.77994,                0.98794,                0.98445,                0.99374,                0.80039,                0.76659,                0.30653,                0.81194,              0.0002278,              0.0002278,              0.0002278
                     80,                0.40454,                0.20728,                0.78004,                0.98723,                0.98466,                0.99372,                0.80111,                0.76651,                0.30746,                0.81191,              0.0002179,              0.0002179,              0.0002179
                     81,                0.40229,                 0.2067,                0.77997,                0.98697,                0.98478,                0.99373,                0.80075,                0.76535,                0.30652,                0.81185,               0.000208,               0.000208,               0.000208
                     82,                0.40616,                0.20801,                0.77888,                 0.9905,                0.98124,                0.99373,                0.80053,                0.76581,                0.30708,                0.81196,              0.0001981,              0.0001981,              0.0001981
                     83,                0.40563,                0.20731,                0.78064,                0.98665,                0.98517,                0.99373,                0.80047,                0.76559,                 0.3072,                0.81174,              0.0001882,              0.0001882,              0.0001882
                     84,                0.40665,                0.20933,                0.77903,                0.98709,                0.98436,                0.99364,                0.80034,                0.76573,                0.30668,                0.81192,              0.0001783,              0.0001783,              0.0001783
                     85,                0.40201,                0.20613,                0.78068,                0.98712,                0.98483,                0.99372,                0.80025,                0.76613,                0.30728,                0.81188,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.3983,                0.20489,                0.77955,                 0.9878,                 0.9844,                0.99375,                 0.8004,                0.76619,                0.30638,                0.81183,              0.0001585,              0.0001585,              0.0001585
                     87,                0.40103,                0.20621,                0.77942,                0.98935,                0.98266,                0.99374,                0.80113,                0.76462,                0.30636,                0.81166,              0.0001486,              0.0001486,              0.0001486
                     88,                0.39934,                0.20589,                0.78056,                0.98827,                0.98388,                0.99374,                0.80058,                0.76582,                0.30642,                0.81189,              0.0001387,              0.0001387,              0.0001387
                     89,                0.40193,                0.20621,                0.77954,                 0.9882,                0.98357,                0.99372,                0.80084,                0.76607,                0.30704,                0.81188,              0.0001288,              0.0001288,              0.0001288
                     90,                0.40068,                0.20592,                0.78087,                0.98775,                0.98418,                0.99374,                 0.8006,                0.76546,                0.30678,                 0.8119,              0.0001189,              0.0001189,              0.0001189
                     91,                0.40451,                  0.207,                0.77993,                0.98757,                 0.9842,                0.99375,                0.80079,                0.76527,                0.30659,                0.81184,               0.000109,               0.000109,               0.000109
                     92,                0.40439,                0.20726,                0.77826,                0.98812,                 0.9837,                0.99375,                0.80078,                0.76593,                 0.3063,                0.81191,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.40082,                0.20611,                0.78025,                0.98787,                0.98352,                0.99371,                0.80061,                0.76629,                0.30649,                0.81194,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.40465,                0.20766,                0.78078,                0.98775,                0.98379,                0.99372,                0.80045,                0.76685,                0.30655,                0.81196,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.40399,                0.20723,                0.77908,                0.98777,                0.98375,                0.99374,                0.80062,                0.76588,                0.30615,                0.81183,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.39984,                0.20602,                0.77967,                0.98836,                0.98357,                0.99374,                0.80064,                0.76616,                0.30617,                0.81189,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.39928,                0.20612,                0.77776,                0.98806,                0.98361,                0.99372,                0.80058,                 0.7659,                0.30655,                0.81184,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.39469,                0.20329,                0.78083,                0.98797,                0.98406,                0.99375,                0.80106,                0.76529,                0.30628,                0.81182,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.40175,                0.20559,                0.78094,                0.98771,                0.98438,                0.99375,                0.80088,                0.76569,                0.30636,                0.81181,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.39862,                0.20582,                0.77831,                0.98796,                0.98388,                0.99371,                0.80057,                0.76625,                0.30632,                 0.8119,               1.99e-05,               1.99e-05,               1.99e-05
