                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.81288,                 0.4576,                 1.0665,                0.87697,                0.66584,                0.75441,                0.41331,                 1.3932,                0.73277,                 1.6334,               0.001707,               0.001707,               0.001707
                     76,                0.79385,                0.45987,                 1.0694,                0.84014,                0.68944,                0.75484,                0.40879,                 1.3959,                0.73113,                 1.6431,               0.001703,               0.001703,               0.001703
                     77,                0.81915,                0.45665,                 1.0681,                0.85975,                0.69142,                0.76758,                0.41701,                 1.3994,                0.70209,                 1.6308,               0.001699,               0.001699,               0.001699
                     78,                0.81866,                0.48417,                  1.074,                0.84335,                0.69741,                0.76714,                0.41998,                 1.3856,                0.69308,                 1.6243,              0.0016951,              0.0016951,              0.0016951
                     79,                0.82956,                0.48085,                 1.0786,                0.86042,                0.70189,                0.78202,                0.42584,                 1.3856,                0.71039,                 1.6088,              0.0016911,              0.0016911,              0.0016911
                     80,                  0.839,                0.47764,                 1.0495,                0.86412,                0.67822,                 0.7673,                0.42167,                 1.3532,                0.71298,                 1.5937,              0.0016872,              0.0016872,              0.0016872
                     81,                0.78792,                0.44954,                 1.0702,                0.86741,                0.65347,                0.74171,                0.41476,                 1.3832,                0.76538,                 1.5996,              0.0016832,              0.0016832,              0.0016832
                     82,                0.78244,                0.44185,                 1.0435,                0.84882,                0.67637,                0.75034,                0.41543,                 1.3972,                0.76016,                 1.6279,              0.0016792,              0.0016792,              0.0016792
                     83,                0.82664,                 0.4646,                 1.0416,                0.82933,                0.69967,                 0.7628,                0.41988,                 1.3769,                0.72178,                 1.6139,              0.0016753,              0.0016753,              0.0016753
                     84,                0.83195,                0.47698,                 1.0538,                0.84031,                0.67657,                0.75462,                0.41884,                 1.3601,                0.71761,                 1.6014,              0.0016713,              0.0016713,              0.0016713
                     85,                0.76906,                  0.444,                 1.0349,                0.88954,                0.64934,                0.75572,                0.42584,                 1.3549,                 0.7448,                 1.6104,              0.0016674,              0.0016674,              0.0016674
                     86,                0.75288,                0.42942,                 1.0366,                0.87805,                0.68318,                0.77961,                 0.4269,                 1.3541,                 0.7053,                 1.6008,              0.0016634,              0.0016634,              0.0016634
                     87,                0.79417,                0.44936,                 1.0669,                0.86464,                0.68069,                0.76684,                 0.4181,                 1.3959,                0.69224,                 1.6378,              0.0016594,              0.0016594,              0.0016594
                     88,                0.79927,                0.46445,                 1.0672,                0.82974,                0.69059,                0.75573,                0.41801,                 1.3718,                0.71694,                 1.6315,              0.0016555,              0.0016555,              0.0016555
                     89,                0.78896,                0.44315,                  1.024,                0.87403,                0.68125,                0.76913,                0.43101,                 1.3536,                0.67839,                 1.6137,              0.0016515,              0.0016515,              0.0016515
                     90,                0.79669,                0.44418,                 1.0284,                0.87964,                0.64686,                0.75216,                0.42398,                 1.3628,                0.74304,                 1.6243,              0.0016476,              0.0016476,              0.0016476
                     91,                0.78561,                0.45349,                 1.0515,                0.87673,                0.64934,                0.75143,                0.41653,                 1.3701,                0.70368,                 1.6308,              0.0016436,              0.0016436,              0.0016436
                     92,                0.73706,                0.42847,                 1.0339,                 0.8606,                0.68234,                0.76546,                0.41973,                 1.3638,                0.68194,                 1.6046,              0.0016396,              0.0016396,              0.0016396
                     93,                 0.8181,                0.46287,                  1.032,                0.85336,                0.69142,                0.76229,                0.41972,                 1.3591,                0.71959,                  1.594,              0.0016357,              0.0016357,              0.0016357
                     94,                0.79256,                0.45479,                  1.053,                0.87061,                0.65924,                0.75568,                0.42359,                  1.359,                0.71777,                 1.6092,              0.0016317,              0.0016317,              0.0016317
                     95,                0.78503,                0.44283,                 1.0146,                0.82008,                0.70701,                0.77136,                0.43266,                 1.3634,                 0.7149,                 1.6209,              0.0016278,              0.0016278,              0.0016278
                     96,                0.73892,                0.42524,                 1.0247,                 0.8737,                0.65429,                0.75479,                0.41784,                 1.3702,                0.74786,                 1.6259,              0.0016238,              0.0016238,              0.0016238
                     97,                0.79834,                0.45145,                 1.0399,                0.87865,                0.66908,                0.76718,                0.43494,                  1.341,                0.71366,                 1.6055,              0.0016198,              0.0016198,              0.0016198
                     98,                0.77172,                0.43159,                 1.0333,                0.84519,                0.67492,                0.75745,                0.42861,                 1.3498,                0.71588,                 1.5994,              0.0016159,              0.0016159,              0.0016159
                     99,                0.74358,                0.43331,                  1.039,                0.86522,                0.66584,                0.75443,                0.42191,                 1.3624,                0.71097,                 1.5939,              0.0016119,              0.0016119,              0.0016119
                    100,                 0.7559,                 0.4394,                 1.0394,                0.85717,                0.66914,                0.74583,                0.41403,                 1.3929,                0.72938,                 1.6262,               0.001608,               0.001608,               0.001608
                    101,                 0.7823,                0.42929,                 1.0252,                0.87059,                0.68152,                0.77256,                0.43075,                 1.3444,                0.67633,                 1.6002,               0.001604,               0.001604,               0.001604
                    102,                0.75681,                0.43873,                 1.0296,                0.86057,                0.69637,                0.77405,                 0.4274,                 1.3506,                0.67022,                 1.6033,                 0.0016,                 0.0016,                 0.0016
                    103,                0.73218,                0.42385,                 1.0274,                0.83481,                0.70297,                0.77106,                 0.4327,                 1.3443,                0.71303,                 1.6062,              0.0015961,              0.0015961,              0.0015961
                    104,                0.75848,                0.42336,                 1.0142,                0.82394,                0.69719,                0.76372,                0.42543,                 1.3535,                0.70733,                 1.6095,              0.0015921,              0.0015921,              0.0015921
                    105,                0.74872,                0.42758,                 1.0156,                0.82829,                0.66667,                0.74733,                0.41681,                 1.3554,                0.74158,                 1.6122,              0.0015882,              0.0015882,              0.0015882
                    106,                0.74234,                0.42579,                 1.0109,                0.83937,                0.70709,                0.76997,                0.42585,                 1.3433,                0.68187,                 1.5941,              0.0015842,              0.0015842,              0.0015842
                    107,                0.71957,                0.42885,                  1.011,                0.85302,                0.68977,                0.77431,                0.42062,                 1.3989,                0.72176,                 1.6753,              0.0015802,              0.0015802,              0.0015802
                    108,                0.76002,                0.43296,                 1.0295,                  0.865,                 0.6767,                0.75848,                 0.4229,                 1.3459,                0.72731,                 1.5954,              0.0015763,              0.0015763,              0.0015763
                    109,                0.76909,                0.42874,                 1.0269,                0.88368,                0.66337,                0.76646,                0.42897,                 1.3537,                0.70596,                 1.6034,              0.0015723,              0.0015723,              0.0015723
                    110,                0.77628,                0.43543,                 1.0186,                0.86738,                0.66915,                0.75972,                0.42733,                 1.3448,                0.69592,                 1.5995,              0.0015684,              0.0015684,              0.0015684
